*,DB
NAME,ADDRESS
영풍동물병원,서울특별시 도봉구 도봉로 499 (쌍문동)
퓨리나동물병원,서울특별시 도봉구 도봉로 469 (쌍문동)
신창동물병원,서울특별시 도봉구 덕릉로 230 (창동)
태일동물종합병원,서울특별시 도봉구 해등로 184 (쌍문동)
화신종합동물병원,서울특별시 도봉구 도당로 63 (방학동)
한빛동물병원,서울특별시 도봉구 덕릉로 256 (창동)
방학동물병원,"서울특별시 도봉구 도봉로 723, 2층 (방학동)"
창동애견종합동물병원,서울특별시 도봉구 도봉로 534 (창동)
도담동물병원,서울특별시 도봉구 도봉로 875 (도봉동)
두남자동물병원,서울특별시 도봉구 방학로 37 (방학동)
가나동물병원,서울특별시 도봉구 방학로 162 (방학동)
(주)모리아동물생명 아야야동물병원,"서울특별시 도봉구 도봉로 759 (도봉동,1층)"
동물병원 WITH,"서울특별시 도봉구 도봉로 568, 1층 (창동, 태진빌딩)"
사랑동물병원,"서울특별시 도봉구 도봉로 678 (방학동,1층)"
수호천사동물병원,"서울특별시 도봉구 마들로 645 (방학동,1층)"
현대종합동물병원,"서울특별시 도봉구 도봉로 669, 1층 (방학동)"
온누리동물병원,"서울특별시 도봉구 시루봉로 59 (쌍문동,1층)"
양현철동물병원,서울특별시 도봉구 방학로 37 (방학동)
동물을사랑하는사람들,"서울특별시 도봉구 마들로 657 (방학동,ESA아파트1단지 상가 112호)"
참 동물병원,"서울특별시 도봉구 노해로 341 (창동,신원리베르텔 107호)"
수호천사동물병원,"서울특별시 도봉구 마들로 645 (방학동,1층)"
사랑동물병원,"서울특별시 도봉구 도봉로 678 (방학동,1층)"
수호천사동물병원,"서울특별시 도봉구 마들로 645 (방학동,1층)"
삼성동물종합병원,"서울특별시 도봉구 도봉로 499, 1층 (쌍문동)"
수호천사동물병원,"서울특별시 도봉구 마들로 645 (방학동,1층)"
쿨펫동물병원,"서울특별시 도봉구 마들로 645, 2층 (방학동)"
세정동물병원,서울특별시 도봉구 방학로 37 (방학동)
유현동물병원,"서울특별시 도봉구 방학로 187, 105호 (방학동, 한화아파트 상가)"
행복한동물병원,
이n김동물병원,"서울특별시 도봉구 마들로 664, 2층 (도봉동, 킴스타워)"
다현동물병원,"서울특별시 도봉구 해등로16길 26 (창동,타임프라자 107호)"
다빈치동물병원,"서울특별시 도봉구 노해로63다길 41 (창동,동아상가 1층 1012호)"
행복한동물병원,"서울특별시 도봉구 도봉로 618, 108호 (창동)"
사랑해요동물병원,서울특별시 도봉구 시루봉로 59 (쌍문동)
태현동물병원,서울특별시 도봉구 도당로 79 (방학동)
365동물병원,서울특별시 도봉구 방학로 54 (방학동)
하비동물병원,"서울특별시 도봉구 노해로65길 14, 1층, 지층 (창동, 영일빌딩)"
별난동물병원,"서울특별시 도봉구 도봉로 603, 1층, 지층 (쌍문동)"
도봉동물병원,서울특별시 도봉구 도봉로 763 (도봉동)
방학동물외과센터,"서울특별시 도봉구 도봉로 723, 3층 (방학동)"
이엔김동물병원,"서울특별시 도봉구 마들로 664, 2층 (도봉동, 킴스타워)"
트윈스동물병원,서울특별시 도봉구 도봉로110다길 20 (창동)
이n김동물병원,"서울특별시 도봉구 마들로 664, 킴스타워 (도봉동)"
해봄동물병원,"서울특별시 도봉구 도봉로180길 28, 도봉투웨니퍼스트2단지 (도봉동)"
태일동물종합병원,서울특별시 도봉구 해등로 184 (쌍문동)
둘리동물병원,서울특별시 도봉구 도봉로 506 (창동)
강북우리동물의료센터,서울특별시 도봉구 도봉로 586 (창동)
둘리동물병원,서울특별시 도봉구 도봉로 506 (창동)
도담동물병원,"서울특별시 도봉구 도봉로 875, 1층 (도봉동)"
도담동물병원,서울특별시 도봉구 도봉로 875 (도봉동)
연동물병원펫샵,서울특별시 도봉구 도봉로 791 (도봉동)
현대종합동물병원,"서울특별시 도봉구 도봉로 669, 1층 (방학동)"
빛가온동물병원,"서울특별시 도봉구 마들로 695, 1층 (도봉동)"
이n김동물병원,"서울특별시 도봉구 마들로 664, 킴스타워 2층 (도봉동)"
블루핀동물병원,"서울특별시 도봉구 마들로 548, 102, 103호 (창동)"
