*,DJ
NAME,ADDRESS
이승배수의과병원,
중앙동물병원,"서울특별시 동작구 현충로 100, 1층 (흑석동)"
야셀동물병원,"서울특별시 동작구 사당로 308 (사당동,화인빌딩 1층)"
상도동물병원,
모범동물병원,서울특별시 동작구 사당로 229 (사당동)
대신동물병원,
김확수동물병원,
동작동물종합병원,서울특별시 동작구 상도로 71 (대방동)
사당동물병원,서울특별시 동작구 남부순환로 2051 (사당동)
세진동물병원,
인동물병원,
가나안동물병원,
흑석애니피스동물병원,
성민동물병원,
김용각동물병원,"서울특별시 동작구 성대로11길 46, 1층 (상도동)"
디아크동물종합병원,
나라동물병원,"서울특별시 동작구 사당로 284, 1층 (사당동)"
하나사랑동물병원,"서울특별시 동작구 상도로 171, 1층 (상도동)"
디아크동물종합병원,서울특별시 동작구 장승배기로27길 18 (노량진동)
종합동물병원 Pet Together,"서울특별시 동작구 양녕로 184-1 (상도동,지하1층)"
동물은내친구,서울특별시 동작구 사당로 252 (사당동)
굿모닝동물병원,서울특별시 동작구 상도로 303 (상도1동)
쿠키동물병원,
유석동물병원,
인동물병원,
신대방동물병원,
원동물병원,서울특별시 동작구 사당로 180 (사당동)
플로리다 종합동물병원,서울특별시 동작구 여의대방로 284 (대방동)
정금동물병원,서울특별시 동작구 사당로23나길 30 (사당동)
피닉스동물병원,서울특별시 동작구 상도로 58 (대방동)
강남동물병원,서울특별시 동작구 여의대방로 284 (대방동)
다나동물병원,서울특별시 동작구 동작대로 47 (사당동)
다래동물병원,서울특별시 동작구 사당로17길 3 (사당동)
피닉스동물병원,"서울특별시 동작구 상도로 43, 1층 (대방동, 정원빌딩)"
마야네동물병원,"서울특별시 동작구 성대로1길 24, 102호 (상도동)"
쿠키동물병원,
원동물병원,서울특별시 동작구 사당로 180 (사당동)
세인트필립 동물병원,"서울특별시 동작구 남부순환로267길 5 (사당동,102호)"
유케어종합동물병원,서울특별시 동작구 상도로 214 (상도동)
흑석동물병원,서울특별시 동작구 현충로 100 (흑석동)
이수동물병원,"서울특별시 동작구 사당로23나길 30 (사당동,1층)"
야셀동물병원,서울특별시 동작구 동작대로23길 8 (사당동)
정겨운동물병원,서울특별시 동작구 상도로 315 (상도1동)
굿파파 24시 반려동물건강검진센터,"서울특별시 동작구 사당로 289, 1층 및 2층 (사당동)"
나무동물병원,"서울특별시 동작구 흑석한강로 2, 1층 105호 (흑석동)"
우리아이동물병원,"서울특별시 동작구 상도로 262, 1층 및 2층 (상도동)"
굿모닝동물병원,서울특별시 동작구 상도로 303 (상도1동)
흑석24시동물병원,서울특별시 동작구 현충로 92 (흑석동)
동물병원스몰빌,"서울특별시 동작구 흑석한강로 27, 흑석한강푸르지오아파트 상가-B의 B동 B102호 (흑석동)"
주포드동물병원,서울특별시 동작구 현충로 150 (흑석동)
상도힐링동물병원,"서울특별시 동작구 상도로 353, 1층 (상도동)"
보라매웰종합동물병원,"서울특별시 동작구 상도로 16, 1층 (대방동)"
지엔동물병원,서울특별시 동작구 상도로 195 (상도동)
캐나다동물병원,서울특별시 동작구 상도로 111 (상도동)
나을동물병원,"서울특별시 동작구 사당로 196, 1층 102호 (사당동, 거묵프리미엄 상가)"
유케어종합동물병원,"서울특별시 동작구 상도로 214, 성은빌딩 1층 (상도동)"
엘'S동물병원,"서울특별시 동작구 동작대로39길 22, 209동 116호117호 (동작동, 이수힐스테이트)"
품 동물병원,서울특별시 동작구 양녕로 277-1 (상도1동)
다정다감동물병원,"서울특별시 동작구 만양로 11, 대화빌딩 1층 (상도동)"
