*,GJ
NAME,ADDRESS
성동가축병원,
가람동물병원,
펫프라자동물병원,서울특별시 광진구 뚝섬로 619 (자양동)
수동물병원,서울특별시 광진구 광나루로 341 (군자동)
진영동물병원,
예일동물병원,
프라임동물병원,서울특별시 광진구 아차산로 451 (구의동)
우대종합동물병원,
광진종합동물병원,
동서울동물병원,서울특별시 광진구 아차산로 493 (광장동)
제원동물병원,
자양동물병원,
킴스동물종합병원,서울특별시 광진구 면목로 117 (중곡동)
시민동물병원,서울특별시 광진구 자양로 94 (자양동)
피카소동물병원,서울특별시 광진구 광나루로 392-1 (화양동)
용마동물병원,서울특별시 광진구 용마산로 66 (중곡동)
알프스동물병원,
팻클럽동물병원,
팻클럽동물병원,
중곡동물병원,서울특별시 광진구 긴고랑로 47 (중곡동)
황희정종합동물병원,
방주종합동물병원,서울특별시 광진구 능동로 334 (중곡동)
팻클럽동물병원,
기린동물종합병원,
건국대학교수의과대학부속동물병원,
Pet 동물병원,
광진동물의료센터,서울특별시 광진구 광나루로 507 (구의동)
우대종합동물병원,
건국대학교 부속 동물병원,서울특별시 광진구 능동로 120 (화양동)
산마루동물병원,
아차산동물병원,서울특별시 광진구 천호대로 663 (구의동)
정동물병원,
쥬라기동물병원,서울특별시 광진구 광나루로 601 (광장동)
이다종합동물병원,서울특별시 광진구 뚝섬로 504 (자양동)
우대종합동물병원,
나래동물병원,서울특별시 광진구 능동로 283 (군자동)
행복한 동물병원,
한강시민동물병원,
보람동물병원,서울특별시 광진구 군자로 84 (군자동)
기린동물종합병원,서울특별시 광진구 뚝섬로 609-1 (자양동)
스타동물의료센터,서울특별시 광진구 능동로 49 (자양동)
애플동물병원,서울특별시 광진구 천호대로 642-1 (능동)
로엘동물병원,서울특별시 광진구 뚝섬로 622-1 (자양동)
아라우나동물병원,서울특별시 광진구 뚝섬로 548 (자양동)
노룬산동물병원,서울특별시 광진구 뚝섬로 462 (자양동)
에디슨동물병원,서울특별시 광진구 아차산로 530 (광장동)
혜민동물병원,
준동물병원,서울특별시 광진구 뚝섬로 541 (자양동)
서울어린이대공원동물병원,서울특별시 광진구 능동로 216 (능동)
반디동물병원,서울특별시 광진구 능동로 18 (자양동)
웰니스클리닉 동물병원,서울특별시 광진구 아차산로 272 (자양동)
혜민동물병원,서울특별시 광진구 자양로15길 48 (자양동)
나루동물병원,서울특별시 광진구 아차산로 537-17 (광장동)
다온동물병원,서울특별시 광진구 면목로 142 (중곡동)
혜민동물병원,"서울특별시 광진구 자양로15길 48, 1층 (자양동)"
자양동물병원,서울특별시 광진구 뚝섬로52길 4 (자양동)
드림펫 동물병원,"서울특별시 광진구 능동로 407, 2층 (중곡동)"
건국사랑동물병원,서울특별시 광진구 뚝섬로 636 (자양동)
쿨펫동물병원,"서울특별시 광진구 아차산로 272, 지하1층 (자양동, 이마트 자양점)"
양지동물병원,"서울특별시 광진구 자양로13길 61, 1층 (자양동)"
서울동물병원,"서울특별시 광진구 천호대로 623-1, 1층 (중곡동)"
우리동물병원,서울특별시 광진구 뚝섬로 636 (자양동)
좋은동물병원,"서울특별시 광진구 자양로 246, 202호 (구의동)"
우리동물병원,서울특별시 광진구 뚝섬로 636 (자양동)
로얄 도그앤캣 메디컬센터,"서울특별시 광진구 능동로 49 (자양동, 영지빌딩)"
해맑은동물병원,"서울특별시 광진구 뚝섬로 670, 1층 (자양동)"
광장동물의료센터,"서울특별시 광진구 아차산로 608, 1층 (광장동)"
파라곤동물병원,"서울특별시 광진구 광나루로 361, 2동 103호 (군자동, 광진동양파라곤)"
쿨펫동물병원,"서울특별시 광진구 아차산로 272 (자양동, 이마트 자양점)"
반디동물병원,"서울특별시 광진구 능동로 18, 125호 (자양동, 이튼타워리버3차)"
연두동물병원,서울특별시 광진구 광나루로 524 (구의동)
우리동물병원,서울특별시 광진구 뚝섬로 636 (자양동)
광진24시필동물병원,"서울특별시 광진구 광나루로56길 32, 105,106,201호 (구의동, 구의현대2단지아파트)"
스마트동물병원군자점,서울특별시 광진구 능동로43길 3-5 (중곡동)
아이본 동물병원,"서울특별시 광진구 자양로 48, 104호 (자양동)"
