*,SB
NAME,ADDRESS
장위동물병원,서울특별시 성북구 장월로 93-1 (장위동)
정릉동물병원,
보문동물병원,
광덕동물병원,
창문동물병원,
큐동물병원,서울특별시 성북구 장위로 81 (장위동)
한사랑동물병원,서울특별시 성북구 성북로 27 (성북동1가)
나래종합동물병원,서울특별시 성북구 동소문로 66 (동소문동3가)
이솝동물병원,
다나동물병원,서울특별시 성북구 화랑로 301 (장위동)
서울종합동물병원,서울특별시 성북구 보문로 137 (보문동2가)
베스트종합동물병원,서울특별시 성북구 동소문로 36 (동소문동3가)
북악동물병원,
대학동물병원,서울특별시 성북구 화랑로 309 (장위동)
청솔동물병원,
강북동물병원,서울특별시 성북구 종암로 65 (종암동)
펫케어동물병원,
OK동물병원,
열린동물병원,"서울특별시 성북구 오패산로 46 (하월곡동, 두산위브아파트상가 117호)"
드림동물병원,서울특별시 성북구 동소문로 74 (동소문동5가)
다나동물병원,
아리랑동물병원,서울특별시 성북구 동소문로25길 61 (동선동5가)
길음동물병원,"서울특별시 성북구 동소문로 248 (길음동, 삼부상가 102동 6,7호)"
포유동물병원,
은혜동물병원,
비비펫동물병원,
씨네동물병원,
애니동물병원,
미소동물병원,
이솝동물병원,
비비펫동물병원,
포유동물병원,
정릉동물병원,"서울특별시 성북구 보국문로 4, 2층 (정릉동)"
행복한동물병원,서울특별시 성북구 돌곶이로 91 (장위동)
미소동물병원,서울특별시 성북구 종암로19길 7 (종암동)
애플동물병원,
중앙동물병원,서울특별시 성북구 돌곶이로 56 (석관동)
24시 북악동물병원,서울특별시 성북구 정릉로 272-9 (정릉동)
비비펫 동물병원,서울특별시 성북구 화랑로 91 (하월곡동)
보성통증동물병원,"서울특별시 성북구 보국문로 68-1, 정호빌딩 1층 (정릉동)"
ZOO동물병원,"서울특별시 성북구 정릉로 328, 1층 (정릉동)"
펫케어동물병원,서울특별시 성북구 동소문로 273 (길음동)
포유동물병원,서울특별시 성북구 오패산로 22 (하월곡동)
우리동물병원,서울특별시 성북구 삼양로 84 (길음동)
24시 애니동물병원,서울특별시 성북구 보문로 99 (보문동5가)
VIP 동물의료센터,"서울특별시 성북구 동소문로 73, 1층 (동소문동6가, 시티플레이스)"
정 동물병원,서울특별시 성북구 정릉로27길 9 (정릉동)
옥완 동물병원,"서울특별시 성북구 길음로 74 (길음동, 길음뉴타운상가 2동110호)"
태양 동물병원,서울특별시 성북구 돌곶이로 31 (석관동)
쓰담쓰담 동물병원,서울특별시 성북구 종암로 113 (종암동)
마로동물병원,"서울특별시 성북구 동소문로44길 43 (하월곡동, 성북힐스테이트 101동112호)"
호담동물병원,서울특별시 성북구 동소문로 302 (하월곡동)
꿈의숲동물병원,"서울특별시 성북구 돌곶이로 220, 105동 112호 (장위동, 꿈의숲코오롱하늘채아파트)"
도담도담동물병원,"서울특별시 성북구 화랑로 76 (하월곡동, 코업스타클래스 1층)"
카카오 N 동물병원,"서울특별시 성북구 길음로 33 (길음동, 길음뉴타운 제상가비동 제지2층 25호)"
강북 24시 N 동물의료센터,서울특별시 성북구 삼양로4길 3 (길음동)
넬 동물의료센터,서울특별시 성북구 오패산로 75-1 (하월곡동)
앙리동물병원,"서울특별시 성북구 성북로 66, 1층 (성북동)"
스마트동물병원 성북길음점,"서울특별시 성북구 길음로13길 22, 103호, 104호 (길음동, 길음7구역두산위브아파트)"
포유동물병원,서울특별시 성북구 오패산로 22 (하월곡동)
로이동물병원,서울특별시 성북구 아리랑로 27 (동소문동6가)
보람동물병원,서울특별시 성북구 장월로1길 57 (상월곡동)
성신동물병원,"서울특별시 성북구 아리랑로 18, 1층 101호 (동선동5가)"
더편한동물병원,"서울특별시 성북구 숭인로 50, 상가동 2203호 (길음동, 래미안길음센터피스)"
퍼스트동물병원,"서울특별시 성북구 한천로 713, 515동 상가 206,207호 (장위동, 래미안장위퍼스트하이)"
원러브동물의료센터,"서울특별시 성북구 아리랑로 75, 상가3동 1층 110호 (돈암동, 돈암코오롱하늘채)"
